City,State,Population Growth Rate,Number of Burgalaries reported,Property Crime Rate,Housing Construction,Mass Markets2,Diverse Workers2,Well-heeled Affluents2
Chillicothe,Illinois,0,0,0,0,0.0001,0.00002,0.000015
Chillicothe,Missouri,-0.0001,0,0,0,0,0.000012,0.000039
China Grove,North Carolina,0,0,0,0,0,0.000037,0.000038
Chino,California,0,0,0,-0.0001,0.0001,0.000087,0.000013
Chino Hills,California,0,0,0,0,0.0004,0.00004,0.000004
Chino Valley,Arizona,0,0,0,0,0.0001,0.000011,0.000022
Chipley,Florida,0,0,0,-0.0001,0,0.00005,0.000023
Chisholm,Minnesota,0,0,0,-0.0002,-0.0001,0.000009,0.000031
Chowchilla,California,0,0,0,-0.0002,-0.0001,0.000007,0.000028
Chula Vista,California,0.0001,0.0001,0.0001,0,0.0008,0.00007,0.000279
Cicero,Illinois,0,0,0,0,0.0003,0.000141,0.000083
Cimarron,New Mexico,0.0004,0,0,0.0004,0.0008,0.000001,0.000001
Citronelle,Alabama,0.0001,0,0,0,0.0001,0.000027,0.000005
Citrus Heights,California,0,0,0.0001,0,0.0003,0.000085,0.000056
Clanton,Alabama,0,0,0,0,0.0001,0.000025,0.000065
Clare,Michigan,0,0,0,0,0,0.000008,0.000027
Claremont,California,0,0,0,0.0001,0.0004,0.000023,0.00001
Claremont,North Carolina,0.0002,0,0,-0.0001,0.0002,0.000035,0.000015
Claremont,New Hampshire,0,0,0,0,0,0.000022,0.000038
Clarendon,Arkansas,-0.0001,0,0,-0.0001,-0.0002,0.000002,0.000005
Clarendon Hills,Illinois,-0.0001,0,0,-0.0001,-0.0001,0.000005,0
Clarinda,Iowa,0,0,0,0,0,0.000004,0.000007
Clarkdale,Arizona,0.0001,0,0,0.0001,0.0002,0.000003,0.000009
Clarkson,Kentucky,0.0002,0,0,0,0.0003,0.00001,0.000014
Clarksville,Indiana,0,0,0,0.0001,0.0002,0.000049,0.000059
Clarksville,Arkansas,0,0,0,0,0.0001,0.000035,0.000074
Clarkton,Missouri,0.0002,0,0,-0.0001,0.0002,0.000001,0.000012
Clawson,Michigan,0,0,0,0,0.0001,0.000026,0.000003
